video_id,title,url
-M3DcWA9IBg,The Gambler... | Hardcore Pawn | Full Episode | S2 E6,https://www.youtube.com/watch?v=-M3DcWA9IBg
ZRnBu1I3Dj4,Man Claims He Was Robbed INSIDE The Pawn Shop! | Hardcore Pawn | Full Episode | S5 E8,https://www.youtube.com/watch?v=ZRnBu1I3Dj4
r2-jt0JVgCI,A Dime Turned Dud! | Hardcore Pawn | Season 6 | Episode 10,https://www.youtube.com/watch?v=r2-jt0JVgCI
iWpGFuOeitU,Million Dollar Pawns! | Hardcore Pawn,https://www.youtube.com/watch?v=iWpGFuOeitU
k6Xp1eT8Z3Y,Rolling the Dice on a High-Stakes Pawn Shop Gamble | Hardcore Pawn | Full Episode | S2 E6,https://www.youtube.com/watch?v=k6Xp1eT8Z3Y
uORy2HEhrBQ,Hardcore Pawn Non-Stop Full Episodes! | 🔴 LIVE!,https://www.youtube.com/watch?v=uORy2HEhrBQ
j-BJEsaDrPU,Loan Crisis and Home-Grown Drugs Push Les to the Edge | Hardcore Pawn | Full Episode | S5 E8,https://www.youtube.com/watch?v=j-BJEsaDrPU
XbiDhKNKkK4,Woman Tries To Sell Husband's Collectibles Without Permission | Hardcore Pawn | Season 3 | Episode 6,https://www.youtube.com/watch?v=XbiDhKNKkK4
u6nwHD5115s,Farm-Funded Mayhem as Hillbilly Pawns the Unthinkable | Hardcore Pawn | Full Episode | S6 E5,https://www.youtube.com/watch?v=u6nwHD5115s
P0oITBp9xl4,Cold Blooded Robbery! | Hardcore Pawn | Season 7 | Episode 7,https://www.youtube.com/watch?v=P0oITBp9xl4
UI_zDtdq6Kg,They Sold It the Moment They Bought It! | Hardcore Pawn | Season 2 Episode 6,https://www.youtube.com/watch?v=UI_zDtdq6Kg
dxGVhwUWw6k,Electric Chair Pawn Jolts the Shop... | Hardcore Pawn | Full Episode | S7 E2,https://www.youtube.com/watch?v=dxGVhwUWw6k
CXgIPI5i_cU,The Customers Crazy Romance With His Subwoofer... | Hardcore Pawn | Season 5 | Episode 8,https://www.youtube.com/watch?v=CXgIPI5i_cU
GKZzaFxxBbk,"Lights, Camera, Drama! | Hardcore Pawn | Season 13 | Episode 4",https://www.youtube.com/watch?v=GKZzaFxxBbk
inDwAr4Xupg,Mysterious Pocket Watch | Hardcore Pawn | Season 10 | Episode 9,https://www.youtube.com/watch?v=inDwAr4Xupg
vLoRKEKbPRg,Full Metal Panic | Hardcore Pawn | Season 5 | Episode 8,https://www.youtube.com/watch?v=vLoRKEKbPRg
mQx9AN2r7dE,Les Gets Revenge! | Hardcore Pawn | Full Episode | S3 E7,https://www.youtube.com/watch?v=mQx9AN2r7dE
NUa3y5uYTk0,"NHL MVP Walks In, And Seth Offers Him a Job | Hardcore Pawn | Full Episode | S5 E10",https://www.youtube.com/watch?v=NUa3y5uYTk0
rn3qbMVp2eQ,Pawn Shop Lockdown: Furious Lines and Rusty Tractor Mystery | Hardcore Pawn | Full Episode | S2 E3,https://www.youtube.com/watch?v=rn3qbMVp2eQ
2uE0hld_GtY,Storm Threatens Millions as Les Refuses to Panic | Hardcore Pawn | Full Episode | S5 E11,https://www.youtube.com/watch?v=2uE0hld_GtY
jHCTyZ7afSQ,Rich Makes A Return? | Hardcore Pawn | Season 7 | Episode 1,https://www.youtube.com/watch?v=jHCTyZ7afSQ
ZSMOySdu6Ck,Best Celebrity Pawns Featured On Hardcore Pawn! | Hardcore Pawn,https://www.youtube.com/watch?v=ZSMOySdu6Ck
IuqMd-3wnbM,Customer Brings In Detroit Red Wings Memorabilia | Hardcore Pawn | Season 3 | Episode 7,https://www.youtube.com/watch?v=IuqMd-3wnbM
M-F7IG2o-eg,Ex-NHL Star Gets Hired! | Hardcore Pawn | Season 5 | Episode 10,https://www.youtube.com/watch?v=M-F7IG2o-eg
SnCPwmTL2P8,There's A Storm Brewin'... | Hardcore Pawn | Full Episode | S2 E3,https://www.youtube.com/watch?v=SnCPwmTL2P8
S6I-Cux3sOw,Blackout! | Hardcore Pawn | Season 5 | Episode 11,https://www.youtube.com/watch?v=S6I-Cux3sOw
b5-Yb1Cr1IE,Hot Rob Hunting! | Hardcore Pawn | Season 12 | Episode 9,https://www.youtube.com/watch?v=b5-Yb1Cr1IE
TnRx30w0Xsc,Celebrity Pawns | Hardcore Pawn,https://www.youtube.com/watch?v=TnRx30w0Xsc
6Puvo2BaAXA,Historic Pawns Marathon! | Hardcore Pawn,https://www.youtube.com/watch?v=6Puvo2BaAXA
CAtimbGTKjM,The Storm is Brewing Again! | Hardcore Pawn | Season 2 | Episode 3,https://www.youtube.com/watch?v=CAtimbGTKjM
-9S2WHrpEAs,The Pawn Shop Is In A STATE OF EMERGENCY! | Hardcore Pawn | Full Episode | S5 E11,https://www.youtube.com/watch?v=-9S2WHrpEAs
WVXO6Os_8aw,Hardcore Pawn Funniest Moments Part  6 1080p HD,https://www.youtube.com/watch?v=WVXO6Os_8aw
sriOw2VSVYo,Nothing’s Worse Than Annoying Kids! | Hardcore Pawn | Season 2 Episode 5,https://www.youtube.com/watch?v=sriOw2VSVYo
T2mmPn_5Bz8,Hardcore Pawn Greatest Moments Part 4 [1080p HD],https://www.youtube.com/watch?v=T2mmPn_5Bz8
GHEQBsazclA,Lawyer Up Son! | Hardcore Pawn | Season 7 | Episode 10,https://www.youtube.com/watch?v=GHEQBsazclA
7WNTCR10Sss,New Hire. Now Fire! | Hardcore Pawn | Full Episode | S4 E10,https://www.youtube.com/watch?v=7WNTCR10Sss
wAv3PY2PoUs,Problematic Customers | Hardcore Pawn | Season 10 | Episode 2,https://www.youtube.com/watch?v=wAv3PY2PoUs
A02BaPcwPTk,Skulls and Scoundrels | Hardcore Pawn | Full Episode | S2 E5,https://www.youtube.com/watch?v=A02BaPcwPTk
Vzrd-hs0MJE,Rich’s Blunder Sparks Seth’s Explosive Showdown | Hardcore Pawn | Full Episode | S4 E11,https://www.youtube.com/watch?v=Vzrd-hs0MJE
P34RM4bpnjo,Steroid-Fuelled Man Threatens Seth! | Hardcore Pawn | Full Episode | S4 E10,https://www.youtube.com/watch?v=P34RM4bpnjo
Hj3UZyD4I0o,All In For A Vintage Motor Relic! | Hardcore Pawn | Season 9 | Episode 10,https://www.youtube.com/watch?v=Hj3UZyD4I0o
aas6HiTfNMQ,The Best of Hardcore Pawn Season 5 | Hardcore Pawn,https://www.youtube.com/watch?v=aas6HiTfNMQ
his-c8ySyfo,Counterfeit Watch Scandal Forces Pawn Shop Reputation Battle | Hardcore Pawn | Full Episode | S2 E5,https://www.youtube.com/watch?v=his-c8ySyfo
mMGNpIjYna4,"""Give Me $100 Dollars Or I Ain't Leaving"" | Hardcore Pawn | Season 4 | Episode 11",https://www.youtube.com/watch?v=mMGNpIjYna4
qodxq1TcWEY,Customer Wants To Take The Situation Outside! | Hardcore Pawn | Season 4 | Episode 10,https://www.youtube.com/watch?v=qodxq1TcWEY
0DDNb0ycanU,Hardcore Pawn Greatest Moments Part 2 [1080p HD],https://www.youtube.com/watch?v=0DDNb0ycanU
iGtqY1ZpqpY,Trouble Inside and Outside the Store | Hardcore Pawn | Season 1 | Episode 6,https://www.youtube.com/watch?v=iGtqY1ZpqpY
tiLvfmNLb8Q,Final Straw: Rich’s Blunder Sparks a 25-Year Fallout | Hardcore Pawn | Full Episode | S6 E13,https://www.youtube.com/watch?v=tiLvfmNLb8Q
0rqKtZPD7Ro,"""Give Me $100 Dollars Or I Ain't Leaving"" | Hardcore Pawn | Season 4 | Episode 11",https://www.youtube.com/watch?v=0rqKtZPD7Ro
nP5GkfNRySc,Crystal Confrontation Ends in a Lifetime Ban | Hardcore Pawn | Full Episode | S5 E4,https://www.youtube.com/watch?v=nP5GkfNRySc
zEEaS68crHo,Fast-Talking Customer Pins Les - Hardcore Pawn Season 7 Episode 6,https://www.youtube.com/watch?v=zEEaS68crHo
MNVDnpBGxr0,This Necklace Caused Tension! | Hardcore Pawn | Season 1 Episode 6,https://www.youtube.com/watch?v=MNVDnpBGxr0
Ce082FyNFH8,One Of The Pawnshops Biggest Sales! | Hardcore Pawn | Season 6 | Episode 3,https://www.youtube.com/watch?v=Ce082FyNFH8
lWMAogL8CJQ,Seth Vs. Rich... | Hardcore Pawn | Full Episode | S4 E11,https://www.youtube.com/watch?v=lWMAogL8CJQ
lBDYkI3o8co,Banned for Life | Hardcore Pawn | Season 5 | Episode 4,https://www.youtube.com/watch?v=lBDYkI3o8co
uXnEZlZLId4,Times Seth Got ATTACKED On Hardcore Pawn!,https://www.youtube.com/watch?v=uXnEZlZLId4
C-SVxbANLX8,Les Goes Rogue with Cash | Hardcore Pawn | Season 7 | Episode 8,https://www.youtube.com/watch?v=C-SVxbANLX8
ND23rykOpw8,Les is Back | Hardcore Pawn | Season 10 | Episode 4,https://www.youtube.com/watch?v=ND23rykOpw8
X8gOZtr7pg8,"Ashley Exposes Seth’s Mistake, And All Hell Breaks Loose | Hardcore Pawn | Full Episode | S6 E3",https://www.youtube.com/watch?v=X8gOZtr7pg8
4WvctIYBnFU,Back to the Hustle! | Hardcore Pawn | Season 10 | Episode 5,https://www.youtube.com/watch?v=4WvctIYBnFU
hr9aT2FV2Hc,Piercing A Customers Ear In-Store! | Hardcore Pawn | Full Episode | S5 E4,https://www.youtube.com/watch?v=hr9aT2FV2Hc
3u3x9xa4Sco,Craziest Hardcore Pawn Moments Of ALL TIME,https://www.youtube.com/watch?v=3u3x9xa4Sco
3jN_exYmTMs,Les’ Spending Spree! | Hardcore Pawn | Season 7 | Episode 8,https://www.youtube.com/watch?v=3jN_exYmTMs
_8o0qa7kgdg,Dr Death's Original VW Van! | Hardcore Pawn | Season 8 | Episode 11,https://www.youtube.com/watch?v=_8o0qa7kgdg
N_Wh9vanw2k,The Return Of The Queen! | Hardcore Pawn | Season 4 | Episode 2,https://www.youtube.com/watch?v=N_Wh9vanw2k
O4hHDJrqgSE,Suspicious Deal Put the Gold's on Alert! | Hardcore Pawn | Season 10 | Episode 5,https://www.youtube.com/watch?v=O4hHDJrqgSE
aUk-WbN5oHM,Million Dollar Resolve! | Hardcore Pawn | Season 13 | Episode 1,https://www.youtube.com/watch?v=aUk-WbN5oHM
MAG_U9yGuuY,Les Hunts a Thief | Hardcore Pawn | Season 5 | Episode 7,https://www.youtube.com/watch?v=MAG_U9yGuuY
_6jYyhvInKI,Has The Pawn Shop Hired A Stoner? | Hardcore Pawn | Season 11 | Episode 3,https://www.youtube.com/watch?v=_6jYyhvInKI
yibioRVJPiw,Seth has Disappeared from the Store but Where is He? | Hardcore Pawn | Season 10 | Episode 13,https://www.youtube.com/watch?v=yibioRVJPiw
Tu8HDw_bsy8,Broken Necklace Fury & Saddam Documents Shake Pawn Shop | Hardcore Pawn | Full Episode | S4 E2,https://www.youtube.com/watch?v=Tu8HDw_bsy8
