video_id,title,url
LDlP6EwWXwA,TOP 10 BEST PAWNS OF 2023! | Pawn Stars,https://www.youtube.com/watch?v=LDlP6EwWXwA
n7jnZ_NnPL4,The PRICIEST Toys and Games! | Pawn Stars,https://www.youtube.com/watch?v=n7jnZ_NnPL4
SyxSuKq0r1A,They HAD to Have It! Sellers Who Couldn’t Walk Away | Compilation | Pawn Stars,https://www.youtube.com/watch?v=SyxSuKq0r1A
sYfEzzYqaRo,From Kobe to Rodman: Iconic Jerseys in the Shop | Compilation | Pawn Stars,https://www.youtube.com/watch?v=sYfEzzYqaRo
uZVJmw9Un6c,RARE Treasures of the East | Compilation | Pawn Stars,https://www.youtube.com/watch?v=uZVJmw9Un6c
wtqPDEcsyl8,Items Worth WAY More than Their Asking Price! | Pawn Stars,https://www.youtube.com/watch?v=wtqPDEcsyl8
VcR-00g-W5s,The BEARY Best Items Ever Pawned | Compilation | Pawn Stars,https://www.youtube.com/watch?v=VcR-00g-W5s
Emrn_Sj0nlM,Top 5 Deals from the Empire State | Compilation | Pawn Stars,https://www.youtube.com/watch?v=Emrn_Sj0nlM
VUD1EU6JaB4,Comic Book Gold and Cartoon Classics | Compilation | Pawn Stars,https://www.youtube.com/watch?v=VUD1EU6JaB4
xyewNAWUwk0,Turn-of-the-Century Treasures: 1900s Nostalgia | Compilation | Pawn Stars,https://www.youtube.com/watch?v=xyewNAWUwk0
zgDtm4eQHVs,"""I Have Cash!"" Big Money Deals Hit the Counter | Compilation | Pawn Stars",https://www.youtube.com/watch?v=zgDtm4eQHVs
D6Eohy5gIww,Deals Gone WRONG (Angry Sellers Lose Their Cool) *Mega Compilation* | Pawn Stars,https://www.youtube.com/watch?v=D6Eohy5gIww
Crxr8oA90j8,"Big Money Deals: $10,000 Treasures | Compilation | Pawn Stars",https://www.youtube.com/watch?v=Crxr8oA90j8
-_OBJto9Q0U,Boston Legends: Rare Red Sox & Historic City Treasures | Compilation | Pawn Stars,https://www.youtube.com/watch?v=-_OBJto9Q0U
EYf2Wjy_TwY,Wood You Believe These Deals? | Compilation | Pawn Stars,https://www.youtube.com/watch?v=EYf2Wjy_TwY
2rLYGXviGJQ,Across the Pond Picks: Best British Artifacts | Pawn Stars,https://www.youtube.com/watch?v=2rLYGXviGJQ
z-P5-8lN4Eg,"""If You Change Your Mind!"" Rick's Open Offers | Compilation | Pawn Stars",https://www.youtube.com/watch?v=z-P5-8lN4Eg
QoaJDg_DveQ,"Historic Finds Rick Said ""Hell No!"" To | Pawn Stars",https://www.youtube.com/watch?v=QoaJDg_DveQ
SzyYP478NAg,"""Not a PENNY More!"" Top 7 Hardest Bargains | Pawn Stars",https://www.youtube.com/watch?v=SzyYP478NAg
